id;numero_processo;transferido;data;turma_anterior;ano_conclusao;curso_frequentado;nome_escola_anteriror;endereco_escola_anterior;classe_concluida;numero_processo_anterior;situacao_anterior;pessoa_id
1;bandwidth neural;true;2019-12-25T13:15:50;Rand;75982;Kids;Executive Croatian Kuna Isle;networks action-items Naira;56919;grey;Handmade Cotton Pants Creek HDD;1
2;orchid Generic Steel Car New Jersey;false;2019-12-25T13:34:47;Tasty Metal Soap;14449;Factors;Intranet Personal Loan Account contingency;US Dollar;37420;American Samoa invoice;Table world-class;2
3;Gloves deposit initiative;true;2019-12-25T18:46:39;SMTP encoding;73551;SMS bleeding-edge;driver brand Bedfordshire;invoice Mauritania;24986;Shoes;Sudan Intranet intermediate;3
4;aggregate benchmark;false;2019-12-25T11:43:16;Forward adapter supply-chains;68075;Ergonomic Ukraine calculating;leading edge Bosnia and Herzegovina deliverables;Peso Uruguayo Uruguay Peso en Unidades Indexadas interface 24/365;52917;copying;panel hacking;4
5;Garden;true;2019-12-26T06:19:06;functionalities Sudanese Pound;51954;multi-byte Missouri;Home Loan Account Expanded;niches Organic Kenyan Shilling;60479;payment ROI Consultant;circuit;5
6;green Borders Wallis and Futuna;false;2019-12-25T19:03:22;Industrial;18687;Sports Concrete;Bike Credit Card Account;Avon Denmark infomediaries;97118;monitor;Directives architecture Berkshire;6
7;revolutionary responsive;true;2019-12-26T01:46:12;copy Grocery tan;95808;Multi-channelled;Costa Rican Colon;Unbranded;25372;wireless coherent;SAS;7
8;AI copying;false;2019-12-25T10:58:05;open-source optical;36342;Greece;Forward Malaysian Ringgit;channels Wooden;13088;Handmade European Monetary Unit (E.M.U.-6) Dynamic;Cambridgeshire wireless Handmade Wooden Shirt;8
9;Key object-oriented;false;2019-12-25T17:58:59;Investment Account cross-media;23291;Borders feed hack;Pa'anga B2B;Interactions AGP experiences;20559;Facilitator;override;9
10;content-based Object-based;false;2019-12-26T09:28:06;parse;20911;system viral infomediaries;transmit Kwanza;Metrics productize Highway;2844;Tuvalu Gorgeous applications;Practical;10
