id;numero_actividade;atividade;objectivos;de;ate;responsavel;local;observacao;participantes;co_responsavel;status_actividade;ano_lectivo;periodo_lectivo
1;11360;bypass deposit Central;../fake-data/blob/hipster.txt;2019-12-25;2019-12-26;Avon Regional;Fields Saint Kitts and Nevis;../fake-data/blob/hipster.txt;Borders;Zloty cyan Interactions;Bulgaria;2019-12-26;teal Integration open-source
2;37520;Health Legacy New Hampshire;../fake-data/blob/hipster.txt;2019-12-26;2019-12-26;Nebraska invoice Communications;EXE models Tennessee;../fake-data/blob/hipster.txt;Democratic People's Republic of Korea SSL;synthesize Incredible Cotton Hat Chad;redundant Streets Future;2019-12-25;Intelligent Home Loan Account
3;48636;harness Unbranded Metal Cheese;../fake-data/blob/hipster.txt;2019-12-26;2019-12-26;driver Washington Investor;bricks-and-clicks Borders;../fake-data/blob/hipster.txt;Books Movies;action-items;Central enhance deposit;2019-12-26;invoice
4;6657;Money Market Account;../fake-data/blob/hipster.txt;2019-12-25;2019-12-26;neural;West Virginia pixel RSS;../fake-data/blob/hipster.txt;Brand Associate Direct;Cotton next-generation SSL;Jewelery bandwidth;2019-12-26;Street AGP neural
5;75287;multimedia;../fake-data/blob/hipster.txt;2019-12-26;2019-12-26;Rubber Advanced;reboot;../fake-data/blob/hipster.txt;bluetooth;Architect solutions;compress interfaces;2019-12-25;uniform infomediaries
6;5796;cohesive overriding connect;../fake-data/blob/hipster.txt;2019-12-26;2019-12-26;open-source;Mauritius Rupee;../fake-data/blob/hipster.txt;circuit Home Loan Account;Computer;interfaces Bike leading edge;2019-12-26;Codes specifically reserved for testing purposes Bacon
7;74408;navigating turquoise Beauty;../fake-data/blob/hipster.txt;2019-12-26;2019-12-26;Rubber;Outdoors;../fake-data/blob/hipster.txt;compressing recontextualize;Awesome Harbors;Shoes Wisconsin Switchable;2019-12-26;Refined salmon
8;98941;Flat;../fake-data/blob/hipster.txt;2019-12-25;2019-12-25;withdrawal;Regional Colorado;../fake-data/blob/hipster.txt;Branding;Garden;wireless Central;2019-12-25;Practical productize
9;10742;Cambridgeshire;../fake-data/blob/hipster.txt;2019-12-26;2019-12-25;index Curve;Wooden Cheese markets;../fake-data/blob/hipster.txt;out-of-the-box Incredible;Summit;Industrial bypassing Place;2019-12-26;Rustic Soft Fish SMS
10;39202;invoice National;../fake-data/blob/hipster.txt;2019-12-26;2019-12-26;invoice Web;Louisiana orange Delaware;../fake-data/blob/hipster.txt;Salad;RAM;Refined B2B enable;2019-12-25;Switchable cyan Unbranded
