id;provincia;municipio;bairro;rua;quarteirao;numero_porta;caixa_postal;instituicao_ensino_id
1;Kansas;Bahamian Dollar;Terrace interface;24/7 Games Branding;Reduced mi;interfaces;matrix;1
2;back up firewall well-modulated;Legacy seamless Summit;Direct;modular Home Loan Account budgetary management;Field Soft;Open-archi;capability;2
3;Architect Investment Account;Wyoming Chair Georgia;Mouse;info-mediaries Som Money Market Account;copying Ta;mobile;mobile hybrid;3
4;Georgia;Auto Loan Account technologies visionary;frictionless calculate alarm;supply-chains cyan Multi-lateral;back-end;enable Inv;input Port;4
5;workforce withdrawal;white Direct;customized HDD Chief;Liaison transition;hard drive;Enterprise;index Extension deposit;5
6;Fantastic Soft Table matrix magnetic;Checking Account program;National Horizontal;harness Forward;copying me;Bedfordshi;PNG Cambridgeshire;6
7;Fantastic embrace Coordinator;bypassing Gorgeous;Points Cambridgeshire Minnesota;Forward Harbor aggregate;Administra;Producer;pixel model Borders;7
8;Accountability;Tuna standardization;Lao People's Democratic Republic Architect;Auto Loan Account calculate;feed Ergon;revolution;Functionality Money Market Account;8
9;synthesize;Congolese Franc;Wooden Wells;homogeneous applications;Money Mark;object-ori;Mall Arkansas hard drive;9
10;Portugal RSS;Exclusive Incredible;feed;compress reciprocal;alliance;SDD Europe;New Jersey Harbors function;10
