id;descricao;ano_lectivo;regime;turno;data;ativo;sala_id;classe_id;curso_id
1;Netherlands Antillian Guilder;2019-12-25;copy Handmade e-services;Investment Account purple;2019-12-26T01:33:56;true;1;1;1
2;Liberian Dollar;2019-12-26;Integrated Handcrafted CFA Franc BCEAO;Quality;2019-12-26T05:14:18;true;2;2;2
3;monitoring Solomon Islands Dollar orange;2019-12-25;protocol Home;Chair Handmade Metal Keyboard Checking Account;2019-12-26T10:19:29;true;3;3;3
4;Bedfordshire solid state;2019-12-25;Belarus;Program Senior copy;2019-12-25T20:08:35;false;4;4;4
5;application IB Union;2019-12-25;Road bypass implementation;Streamlined Rhode Island explicit;2019-12-25T14:02:03;true;5;5;5
6;AGP Buckinghamshire;2019-12-26;SAS Awesome scalable;Grocery;2019-12-25T16:37:21;true;6;6;6
7;bandwidth-monitored;2019-12-26;Organized copying Buckinghamshire;system-worthy cutting-edge;2019-12-25T14:38:25;false;7;7;7
8;quantifying;2019-12-25;Clothing Savings Account;functionalities deposit neural;2019-12-25T12:25:25;false;8;8;8
9;New York Gorgeous Plastic Sausages maroon;2019-12-25;lime microchip;Sports Generic Viaduct;2019-12-25T20:22:45;false;9;9;9
10;vortals;2019-12-26;payment;Computers;2019-12-25T18:01:06;true;10;10;10
