id;nome;sigla_interna;sigla_pauta;area_formacao_id
1;Home Loan Account Enhanced clear-thinking;invoice Investor Handcrafted;context-sensitive gold markets;1
2;Buckinghamshire Unbranded;Table;Dynamic Division;2
3;Fish Architect;Unbranded;relationships;3
4;Clothing Generic Metal Towels;Minnesota Investment Account;Personal Loan Account;4
5;maximize bypassing;Integration program payment;Neck Concrete;5
6;portals Ford;Malta Electronics Tunisia;Regional invoice infrastructures;6
7;primary value-added Hong Kong;Credit Card Account AI reinvent;Table;7
8;Personal Loan Account Future;payment;Station;8
9;Multi-layered;Direct payment incentivize;Synergized bandwidth;9
10;Administrator Berkshire;Global holistic Fish;Checking Account;10
