id;tipo_contacto;descricao;contacto;instituicao_ensino_id
1;initiative one-to-one;dynamic solid state lime;Marketing;1
2;application Buckinghamshire;withdrawal Saudi Riyal panel;Wisconsin;2
3;Hawaii Tasty;deposit invoice Prairie;mint green Movies Internal;3
4;Direct Sleek;Tunisian Dinar;Refined deposit fuchsia;4
5;Cheese;Small Fresh Cheese Analyst;Checking Account Berkshire primary;5
6;regional Computers synthesize;enhance success Operations;transmitting attitude-oriented;6
7;bi-directional Stravenue;niches connecting Integration;mission-critical haptic Home Loan Account;7
8;deposit Park Incredible;Licensed forecast;multi-byte Tasty Soft Sausages Personal Loan Account;8
9;drive;expedite;Outdoors;9
10;forecast architectures;Cross-group optical multi-byte;AGP Outdoors;10
