id;nome;logotipo;logotipo_content_type;fundacao;numero;tipo_vinculo;unidade_pagadora;unidade_organica;tipo_instalacao;dimensao;carimbo;carimbo_content_type;sede
1;Georgia;../fake-data/blob/hipster.png;image/png;2019-12-25;Ergonomic Soft Fish;application;Licensed Steel Salad;Exclusive;Quality invoice connect;background generating technologies;../fake-data/blob/hipster.png;image/png;true
2;Money Market Account;../fake-data/blob/hipster.png;image/png;2019-12-26;scalable customer loyalty;Sports Savings Account virtual;reboot Trinidad and Tobago Dollar;New Mexico bandwidth;Wooden deposit program;architectures Refined Rubber Gloves Dominican Peso;../fake-data/blob/hipster.png;image/png;true
3;parse;../fake-data/blob/hipster.png;image/png;2019-12-25;wireless Oklahoma Connecticut;overriding Junction;transmitting;Gorgeous SCSI Credit Card Account;Borders;AI Integration Persistent;../fake-data/blob/hipster.png;image/png;false
4;Borders;../fake-data/blob/hipster.png;image/png;2019-12-26;Toys Awesome Rubber Gloves;optical users Future;HTTP;Intelligent Ville Metal;Rubber non-volatile;CSS Metal Bike;../fake-data/blob/hipster.png;image/png;true
5;engineer Saint Kitts and Nevis Assimilated;../fake-data/blob/hipster.png;image/png;2019-12-25;Forward Beauty;Focused Accounts Practical;grey Island Awesome;sensor Texas engineer;systemic Metal GB;Product Direct Cordoba Oro;../fake-data/blob/hipster.png;image/png;false
6;task-force Specialist synthesize;../fake-data/blob/hipster.png;image/png;2019-12-26;Estate Keyboard Oklahoma;Networked Facilitator;Engineer heuristic Paraguay;primary embrace JSON;1080p Direct Legacy;Licensed Granite Soap Engineer quantify;../fake-data/blob/hipster.png;image/png;false
7;Concrete Chips;../fake-data/blob/hipster.png;image/png;2019-12-26;vortals interface;Hat;full-range Incredible;transitional Agent calculating;Convertible Marks Branding Shirt;Valley architectures Nevada;../fake-data/blob/hipster.png;image/png;false
8;Handcrafted website value-added;../fake-data/blob/hipster.png;image/png;2019-12-25;reboot;Coordinator Avon;Cocos (Keeling) Islands;Unbranded Lakes;well-modulated;Russian Federation;../fake-data/blob/hipster.png;image/png;false
9;primary drive Music;../fake-data/blob/hipster.png;image/png;2019-12-25;zero administration;portals Handcrafted Fresh Car black;dedicated circuit e-tailers;withdrawal American Samoa Analyst;hacking virtual database;deposit Berkshire Analyst;../fake-data/blob/hipster.png;image/png;false
10;compress;../fake-data/blob/hipster.png;image/png;2019-12-26;strategic B2C grey;task-force;Vermont Cotton Gorgeous Fresh Fish;navigating;grid-enabled mobile;supply-chains Decentralized;../fake-data/blob/hipster.png;image/png;true
